id	ja	de	fr	es
ex.radio.2.098	牢獄の月を縛る錆びた鎖は…	Die rostigen Ketten der Gefängnismonde...	Les chaînes rouillées des lunes-prisons...	Las cadenas oxidadas de las lunas prisión...
ex.radio.2.099	…太陽によって砕かれる。	...werden von der Sonne zerschmettert.	...sont brisées par le soleil.	...son destrozadas por el sol.
ex.radio.2.100	道を歩めば、地平線は移り変わり…	Ich gehe einen Weg, Horizonte wandeln sich...	Je marche sur une route, les horizons changent...	Recorro un camino, los horizontes cambian...
ex.radio.2.101	…試合は始まった。	...das Turnier hat begonnen.	...le tournoi a commencé.	...el torneo ha comenzado.
ex.radio.2.127	みんな、僕に続け！	Folgt mir, Team!	Suivez-moi, l'équipe !	¡Síganme, equipo!
ex.radio.2.128	ここは同じ場所が繰り返されてるみたい…	Dieser Ort scheint sich zu wiederholen...	Cet endroit semble se répéter...	Parece que este lugar se repite...
ex.radio.2.129	ここを出るにはリセットしよう！	Wir sollten neu starten, um hier rauszukommen!	Il faut réinitialiser pour sortir d'ici !	¡Reiniciemos para salir de aquí!
ex.radio.2.130	ここで騒いでるのは誰だ！？	Wer macht hier so einen Lärm?!	Qui fait tout ce bruit ici ?!	¡¿Quién hace tanto ruido aquí?!
ex.radio.2.131	これ以上は進ませねえぞ、小僧！	Hier kommst du nicht weiter, Bürschchen!	Tu n'iras pas plus loin, minable !	¡No pasarás de aquí, mocoso!
ex.radio.2.132	今すぐやめろ！	Hör sofort damit auf!	Arrête ça tout de suite !	¡Deja de hacer eso ahora mismo!
ex.radio.2.133	やれるものならやってみろ…	Versuch's doch...	Essaie donc, pour voir...	Inténtalo, si te atreves...
ex.radio.2.134	焼き尽くしてやる！	Ich werde dich verbrennen!	Je vais te réduire en cendres !	¡Voy a achicharrarte!
ex.radio.2.135	へっ、思ったよりはやるじゃねえか！	He, du bist stärker als gedacht!	Hé, tu es moins faible que prévu !	¡Je, no eres tan débil como creía!
ex.radio.2.136	くそっ！まだ終わっちゃいねえ！	Argh! Ich bin noch nicht fertig mit dir!	Argh ! Je n'en ai pas fini avec toi !	¡Argh! ¡Aún no he terminado contigo!
ex.radio.2.137	ぐわああ！ありえねえ！！	Uarghhh! Das ist unmöglich!!	Aaargh ! C'est impossible !!	¡¡Aaargh! ¡¡Esto es imposible!!
