en	ja	de	fr	es
PLANET SELECT CHEAT	惑星選択チート	PLANETENAUSWAHL	CHOIX DE PLANÈTE	TRUCO ELEGIR PLANETA
ENHANCED GROUND	地面の強化	VERBESSERTER BODEN	SOL AMÉLIORÉ	SUELO MEJORADO
GROUND MATERIAL	地面の素材	BODENMATERIAL	MATÉRIAU DU SOL	MATERIAL DEL SUELO
GROUND MOTION	地面の動き	BODENBEWEGUNG	ANIMATION DU SOL	MOVIMIENTO DEL SUELO
ENHANCED SKY	空の強化	VERBESSERTER HIMMEL	CIEL AMÉLIORÉ	CIELO MEJORADO
SKY STYLE	空のスタイル	HIMMELSTIL	STYLE DU CIEL	ESTILO DEL CIELO
SKY MOTION	空の動き	HIMMELBEWEGUNG	ANIMATION DU CIEL	MOVIMIENTO DEL CIELO
GRASS	草原	GRAS	HERBE	HIERBA
DIRT	土	ERDE	TERRE	TIERRA
SAND	砂	SAND	SABLE	ARENA
SNOW	雪	SCHNEE	NEIGE	NIEVE
WATER	水	WASSER	EAU	AGUA
WIND	風	WIND	VENT	VIENTO
RIPPLES	さざ波	WELLEN	RIDES	ONDAS
PULSE	脈動	PULSIEREN	PULSATION	PULSO
CLOUDS	雲	WOLKEN	NUAGES	NUBES
CIRRUS	巻雲	FEDERWOLKEN	CIRRUS	CIRROS
AURORA	オーロラ	POLARLICHT	AURORE	AURORA
SUNSET	夕焼け	SONNENUNTERGANG	COUCHER DE SOLEIL	ATARDECER
DRIFT	流れ	DRIFT	DÉRIVE	DERIVA
SWIRL	渦	WIRBEL	TOURBILLON	REMOLINO
TWIST	ねじれ	WIRBEL	TORSION	TORSIÓN
RING RIPPLE	波紋	RINGWELLEN	ONDES CIRCULAIRES	ONDAS CIRCULARES
SHARD SPLIT	破片分離	SPLITTERVERSATZ	ÉCLATS DÉCALÉS	FRAGMENTOS DESPLAZADOS
RUBY	ルビー	RUBIN	RUBIS	RUBÍ
JADE	翡翠	JADE	JADE	JADE
PORCELAIN	磁器	PORZELLAN	PORCELAINE	PORCELANA
3D MATERIAL - INACTIVE	3D材質・無効	3D-MATERIAL - INAKTIV	MATÉRIAU 3D - INACTIF	MATERIAL 3D - INACTIVO
3D MATERIAL (INACTIVE)	3D材質（無効）	3D-MATERIAL (INAKTIV)	MATÉRIAU 3D (INACTIF)	MATERIAL 3D (INACTIVO)
3D MATERIAL	3D材質	3D-MATERIAL	MATÉRIAU 3D	MATERIAL 3D
MODEL MATERIALS	モデル材質	MODELLMATERIALIEN	MATÉRIAUX DES MODÈLES	MATERIALES DE MODELOS
PRISM	プリズム	PRISMA	PRISME	PRISMA
GLASS	ガラス	GLAS	VERRE	VIDRIO
OBSIDIAN	黒曜石	OBSIDIAN	OBSIDIENNE	OBSIDIANA
PEARL	真珠	PERLE	PERLE	PERLA
3D MANIPULATION	3D変形	3D-VERFORMUNG	DÉFORMATION 3D	MANIPULACIÓN 3D
MANIPULATION INTENSITY	変形の強さ	VERFORMUNGSSTÄRKE	INTENSITÉ DÉFORMATION	INTENSIDAD DE MANIPULACIÓN
BARREL WARP	樽型変形	TONNENVERZERRUNG	DISTORSION BARILLET	DISTORSIÓN DE BARRIL
VENETIAN	ブラインド	JALOUSIEN	STORES VÉNITIENS	PERSIANAS
CHECKER FOLD	市松折り	SCHACHBRETTFALTUNG	PLIAGE EN DAMIER	PLIEGUE DE AJEDREZ
METALLIC	メタリック	METALLISCH	MÉTALLIQUE	METÁLICO
MIRROR	ミラー	SPIEGEL	MIROIR	ESPEJO
REFLECTIVE SURFACES	リフレクション	REFLEKTIERENDE FLÄCHEN	SURFACES RÉFLÉCHISSANTES	SUPERFICIES REFLECTANTES
REQUIRES RT	RTをオンに	RT ERFORDERLICH	ACTIVER LE RT	REQUIERE RT
